Micro-market,Competition Managed-office operators,Managed-office supply (WeWork),Approximate pricing (INR/seat/month),Presence of major operators
Central,"WeWork, Smartworks, Awfis",6,15000-18000,WeWork
ORR (incl. Marathahalli),"WeWork, Smartworks, Awfis, IndiQube, Cowrks, Tablespace",9,11000-15000,"WeWork, Smartworks, IndiQube, Cowrks, Tablespace"
Whitefield,"WeWork, Smartworks, Awfis",3,10000-14000,WeWork
Electronic City,Awfis,N/A,9000-13000,N/A
Koramangala,"WeWork, Smartworks, Awfis",2,13000-17000,WeWork
